model,suite,metric,score,completed,invalid,errors,input_tokens,output_tokens,cost_usd
mwydryn-7b-v2,arc-welsh-challenge,accuracy_pct,43.0,100,0,0,19865,2301,0
mwydryn-7b-v2,arc-welsh-easy,accuracy_pct,51.0,100,0,0,18128,1766,0
mwydryn-7b-v2,ccc-crynhoi-dyfynnu,accuracy_pct,5.0,24,0,0,10290,3874,0
mwydryn-7b-v2,ccc-cyfarwyddyd-cymraeg,accuracy_pct,19.1667,24,0,0,6191,1540,0
mwydryn-7b-v2,ccc-cyfarwyddyd-saesneg,accuracy_pct,7.5,24,0,0,5383,4205,0
mwydryn-7b-v2,ccc-cyfeiriadau,accuracy_pct,25.0,32,0,0,7688,1671,0
mwydryn-7b-v2,ccc-cywiro-esbonio,accuracy_pct,0.0,64,0,0,20929,1493,0
mwydryn-7b-v2,ccc-priod-ddull,accuracy_pct,50.0,32,0,0,4591,1024,0
mwydryn-7b-v2,ccc-termau,accuracy_pct,50.0,32,0,0,3846,292,0
mwydryn-7b-v2,copa-cy,accuracy_pct,73.0,100,0,0,9861,1753,0
mwydryn-7b-v2,mgsm-cy,accuracy_pct,6.0,100,9,0,15348,14019,0
mwydryn-7b-v2,piqa-welsh,accuracy_pct,63.0,100,1,0,18688,5086,0
mwydryn-7b-v2,truthfulqa-welsh-mc1,accuracy_pct,36.0,100,0,0,23662,3213,0
mwydryn-7b-v2,welsh-arc-easy-mini-cy,accuracy_pct,46.0,50,0,0,8578,1411,0
mwydryn-7b-v2,welsh-bilingual-placenames,accuracy_pct,18.0,100,0,0,6938,924,0
mwydryn-7b-v2,welsh-cefr,accuracy_pct,1.0,100,0,0,15926,669,0
mwydryn-7b-v2,welsh-grammar,accuracy_pct,3.0,100,0,0,6195,2170,0
mwydryn-7b-v2,welsh-legislation-translation,BLEU,41.8874,100,2,0,8317,5471,0
mwydryn-7b-v2,welsh-lexicon,accuracy_pct,14.0,100,0,0,5296,2593,0
mwydryn-7b-v2,welsh-mmlu-lite,accuracy_pct,38.0,100,2,0,24252,3163,0
mwydryn-7b-v2,welsh-obscenities,accuracy_pct,0.0,100,0,0,6105,230,0
mwydryn-7b-v2,welsh-registers,accuracy_pct,0.0,100,0,0,36531,8383,0
mwydryn-7b-v2,welsh-toxigen,accuracy_pct,62.0,100,0,0,9177,282,0
mwydryn-7b-v2,welsh-yes-no,accuracy_pct,6.0,100,3,0,12761,2260,0
mwydryn-7b-v2,wnli-cy,accuracy_pct,43.662,71,0,0,11589,213,0
mwydryn-7b-v2,xnli-brit-cy,accuracy_pct,43.0,100,0,0,17706,1240,0
