model,suite,metric,score,completed,invalid,errors,input_tokens,output_tokens,cost_usd
jupiter-n-120b,arc-welsh-challenge,accuracy_pct,64.1202,1165,0,0,189481,5460,0
jupiter-n-120b,arc-welsh-easy,accuracy_pct,71.7077,2354,0,0,341622,9007,0
jupiter-n-120b,ccc-crynhoi-dyfynnu,accuracy_pct,90.0,24,0,0,8817,4312,0
jupiter-n-120b,ccc-cyfarwyddyd-cymraeg,accuracy_pct,89.1667,24,0,0,5427,535,0
jupiter-n-120b,ccc-cyfarwyddyd-saesneg,accuracy_pct,95.8333,24,0,0,4795,535,0
jupiter-n-120b,ccc-cyfeiriadau,accuracy_pct,59.6875,32,0,0,6816,1081,0
jupiter-n-120b,ccc-cywiro-esbonio,accuracy_pct,17.0313,64,0,0,17939,7444,0
jupiter-n-120b,ccc-priod-ddull,accuracy_pct,75.0,32,0,0,3830,545,0
jupiter-n-120b,ccc-termau,accuracy_pct,46.875,32,0,0,3248,236,0
jupiter-n-120b,copa-cy,accuracy_pct,58.6,500,2,0,41830,7954,0
jupiter-n-120b,mgsm-cy,accuracy_pct,58.8,250,29,0,31526,34766,0
jupiter-n-120b,piqa-welsh,accuracy_pct,53.397,1781,0,0,281874,32564,0
jupiter-n-120b,truthfulqa-welsh-mc1,accuracy_pct,53.3333,750,0,0,139625,2730,0
jupiter-n-120b,welsh-arc-easy-mini-cy,accuracy_pct,64.0,50,0,0,7328,100,0
jupiter-n-120b,welsh-bilingual-placenames,accuracy_pct,33.9394,660,0,0,40615,3509,0
jupiter-n-120b,welsh-cefr,accuracy_pct,22.5734,2658,62,0,318279,34235,0
jupiter-n-120b,welsh-grammar,accuracy_pct,52.3713,991,0,0,51800,1982,0
jupiter-n-120b,welsh-legislation-translation,BLEU,43.8533,3003,16,0,235987,159618,0
jupiter-n-120b,welsh-lexicon,accuracy_pct,7.5339,14083,0,0,669389,28168,0
jupiter-n-120b,welsh-mmlu-lite,accuracy_pct,62.0,400,0,0,89894,800,0
jupiter-n-120b,welsh-obscenities,accuracy_pct,0.8696,230,0,0,12804,461,0
jupiter-n-120b,welsh-registers,accuracy_pct,74.0571,875,0,0,269106,1772,0
jupiter-n-120b,welsh-toxigen,accuracy_pct,65.8564,905,0,0,70622,1810,0
jupiter-n-120b,welsh-yes-no,accuracy_pct,44.7761,268,1,0,31660,2649,0
jupiter-n-120b,wnli-cy,accuracy_pct,49.2958,71,0,0,9987,142,0
jupiter-n-120b,xnli-brit-cy,accuracy_pct,42.4517,2431,13,0,359608,23244,0
