model,suite,metric,score,completed,invalid,errors,input_tokens,output_tokens,cost_usd
mwydryn,arc-welsh-challenge,accuracy_pct,18.0,100,0,0,18675,1572,0
mwydryn,arc-welsh-easy,accuracy_pct,26.0,100,0,0,17033,1355,0
mwydryn,ccc-crynhoi-dyfynnu,accuracy_pct,8.1667,24,4,0,8322,3664,0
mwydryn,ccc-cyfarwyddyd-cymraeg,accuracy_pct,15.0,24,1,0,5829,2367,0
mwydryn,ccc-cyfarwyddyd-saesneg,accuracy_pct,13.3333,24,0,0,5323,717,0
mwydryn,ccc-cyfeiriadau,accuracy_pct,22.8125,32,1,0,6887,1405,0
mwydryn,ccc-cywiro-esbonio,accuracy_pct,0.0,64,2,0,19818,3474,0
mwydryn,ccc-priod-ddull,accuracy_pct,50.0,32,0,0,4342,741,0
mwydryn,ccc-termau,accuracy_pct,50.0,32,0,0,3600,271,0
mwydryn,copa-cy,accuracy_pct,53.0,100,0,0,8980,230,0
mwydryn,mgsm-cy,accuracy_pct,1.0,100,5,0,14949,11386,0
mwydryn,piqa-welsh,accuracy_pct,49.0,100,0,0,18506,563,0
mwydryn,truthfulqa-welsh-mc1,accuracy_pct,98.0,100,0,0,22445,3021,0
mwydryn,welsh-arc-easy-mini-cy,accuracy_pct,34.0,50,0,0,8005,781,0
mwydryn,welsh-bilingual-placenames,accuracy_pct,1.0,100,0,0,5889,790,0
mwydryn,welsh-cefr,accuracy_pct,8.0,100,2,0,13791,461,0
mwydryn,welsh-grammar,accuracy_pct,16.0,100,0,0,5157,1800,0
mwydryn,welsh-legislation-translation,BLEU,9.1123,100,6,0,6795,4454,0
mwydryn,welsh-lexicon,accuracy_pct,22.0,100,0,0,4389,380,0
mwydryn,welsh-mmlu-lite,accuracy_pct,29.0,100,0,0,23808,2105,0
mwydryn,welsh-obscenities,accuracy_pct,4.0,100,0,0,5203,373,0
mwydryn,welsh-registers,accuracy_pct,39.0,100,0,0,34257,200,0
mwydryn,welsh-toxigen,accuracy_pct,9.0,100,4,0,7968,2891,0
mwydryn,welsh-yes-no,accuracy_pct,2.0,100,33,0,7787,1070,0
mwydryn,wnli-cy,accuracy_pct,42.2535,71,0,0,10790,295,0
mwydryn,xnli-brit-cy,accuracy_pct,33.0,100,0,0,16207,230,0
