model,suite,dimension,score_pct,completed
caernarfon-3b-cymraeg-instruct-v0-1,ccc-crynhoi-dyfynnu,cwmpas,0.0,24
caernarfon-3b-cymraeg-instruct-v0-1,ccc-crynhoi-dyfynnu,dyfyniad,0.0,24
caernarfon-3b-cymraeg-instruct-v0-1,ccc-crynhoi-dyfynnu,ffeithiau,0.0,24
caernarfon-3b-cymraeg-instruct-v0-1,ccc-crynhoi-dyfynnu,ffyddlondeb,100.0,24
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cyfarwyddyd-cymraeg,dewis_ffynonellau,0.0,24
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cyfarwyddyd-cymraeg,dim_ffynonellau_annerbyniol,87.5,24
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cyfarwyddyd-saesneg,dewis_ffynonellau,0.0,24
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cyfarwyddyd-saesneg,dim_ffynonellau_annerbyniol,75.0,24
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cyfeiriadau,ateb,0.0,32
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cyfeiriadau,cyfeiriadau,21.875,32
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cyfeiriadau,dim_rhithgyfeirio,96.875,32
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cywiro-esbonio,categori,0.0,64
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cywiro-esbonio,cywiriad,0.0,64
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cywiro-esbonio,esboniad,0.0,64
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cywiro-esbonio,rheol,0.0,64
caernarfon-3b-cymraeg-instruct-v0-1,ccc-priod-ddull,priod,3.125,32
caernarfon-3b-cymraeg-instruct-v0-1,ccc-termau,term,12.5,32
