model,suite,metric,score,completed,invalid,errors,input_tokens,output_tokens,cost_usd
bangor-mistral-cymraeg-v2,arc-welsh-challenge,accuracy_pct,28.0,100,0,0,19865,2687,0
bangor-mistral-cymraeg-v2,arc-welsh-easy,accuracy_pct,49.0,100,0,0,18128,1592,0
bangor-mistral-cymraeg-v2,ccc-crynhoi-dyfynnu,accuracy_pct,5.0,24,0,0,10290,3810,0
bangor-mistral-cymraeg-v2,ccc-cyfarwyddyd-cymraeg,accuracy_pct,15.8333,24,0,0,6191,2997,0
bangor-mistral-cymraeg-v2,ccc-cyfarwyddyd-saesneg,accuracy_pct,0.8333,24,2,0,4938,3513,0
bangor-mistral-cymraeg-v2,ccc-cyfeiriadau,accuracy_pct,22.8125,32,0,0,7688,1815,0
bangor-mistral-cymraeg-v2,ccc-cywiro-esbonio,accuracy_pct,0.0781,64,1,0,20597,12713,0
bangor-mistral-cymraeg-v2,ccc-priod-ddull,accuracy_pct,50.0,32,0,0,4591,662,0
bangor-mistral-cymraeg-v2,ccc-termau,accuracy_pct,59.375,32,0,0,3846,317,0
bangor-mistral-cymraeg-v2,copa-cy,accuracy_pct,67.0,100,0,0,9861,1856,0
bangor-mistral-cymraeg-v2,mgsm-cy,accuracy_pct,10.0,100,1,0,16803,11218,0
bangor-mistral-cymraeg-v2,piqa-welsh,accuracy_pct,56.0,100,0,0,19561,5097,0
bangor-mistral-cymraeg-v2,truthfulqa-welsh-mc1,accuracy_pct,73.0,100,0,0,23662,3868,0
bangor-mistral-cymraeg-v2,welsh-arc-easy-mini-cy,accuracy_pct,46.0,50,0,0,8578,951,0
bangor-mistral-cymraeg-v2,welsh-bilingual-placenames,accuracy_pct,5.0,100,4,0,6663,274,0
bangor-mistral-cymraeg-v2,welsh-cefr,accuracy_pct,5.0,100,0,0,15926,3084,0
bangor-mistral-cymraeg-v2,welsh-grammar,accuracy_pct,23.0,100,0,0,6195,1595,0
bangor-mistral-cymraeg-v2,welsh-legislation-translation,BLEU,31.3858,100,1,0,8388,6322,0
bangor-mistral-cymraeg-v2,welsh-lexicon,accuracy_pct,15.0,100,0,0,5296,201,0
bangor-mistral-cymraeg-v2,welsh-mmlu-lite,accuracy_pct,33.0,100,0,0,25235,3763,0
bangor-mistral-cymraeg-v2,welsh-obscenities,accuracy_pct,2.0,100,0,0,6105,206,0
bangor-mistral-cymraeg-v2,welsh-registers,accuracy_pct,22.0,100,0,0,36531,2162,0
bangor-mistral-cymraeg-v2,welsh-toxigen,accuracy_pct,22.0,100,0,0,9177,1090,0
bangor-mistral-cymraeg-v2,welsh-yes-no,accuracy_pct,6.0,100,1,0,13038,2319,0
bangor-mistral-cymraeg-v2,wnli-cy,accuracy_pct,43.662,71,0,0,11589,213,0
bangor-mistral-cymraeg-v2,xnli-brit-cy,accuracy_pct,36.0,100,0,0,17706,1224,0
caernarfon-3b,arc-welsh-challenge,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,arc-welsh-easy,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,ccc-crynhoi-dyfynnu,accuracy_pct,0.0,24,24,0,0,0,0
caernarfon-3b,ccc-cyfarwyddyd-cymraeg,accuracy_pct,0.0,24,24,0,0,0,0
caernarfon-3b,ccc-cyfarwyddyd-saesneg,accuracy_pct,0.0,24,24,0,0,0,0
caernarfon-3b,ccc-cyfeiriadau,accuracy_pct,0.0,32,32,0,0,0,0
caernarfon-3b,ccc-cywiro-esbonio,accuracy_pct,0.0,64,44,0,6822,3078,0
caernarfon-3b,ccc-priod-ddull,accuracy_pct,0.0,32,32,0,0,0,0
caernarfon-3b,ccc-termau,accuracy_pct,0.0,32,32,0,0,0,0
caernarfon-3b,copa-cy,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,mgsm-cy,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,piqa-welsh,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,truthfulqa-welsh-mc1,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-arc-easy-mini-cy,accuracy_pct,0.0,50,50,0,0,0,0
caernarfon-3b,welsh-bilingual-placenames,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-cefr,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-grammar,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-legislation-translation,BLEU,14.8943,100,9,0,7231,19370,0
caernarfon-3b,welsh-lexicon,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-mmlu-lite,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-obscenities,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-registers,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-toxigen,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-yes-no,accuracy_pct,0.0,100,100,0,0,0,0
