model,suite,metric,score,completed,invalid,errors,input_tokens,output_tokens,cost_usd
caernarfon-3b-cymraeg-instruct-v0-1,arc-welsh-challenge,accuracy_pct,17.2532,1165,8,0,235523,50395,0
caernarfon-3b-cymraeg-instruct-v0-1,arc-welsh-easy,accuracy_pct,20.3059,2354,16,0,422473,86502,0
caernarfon-3b-cymraeg-instruct-v0-1,ccc-crynhoi-dyfynnu,accuracy_pct,5.0,24,0,0,11028,3935,0
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cyfarwyddyd-cymraeg,accuracy_pct,17.5,24,0,0,6726,2827,0
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cyfarwyddyd-saesneg,accuracy_pct,15.0,24,3,0,5007,3158,0
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cyfeiriadau,accuracy_pct,22.8125,32,1,0,7917,1799,0
caernarfon-3b-cymraeg-instruct-v0-1,ccc-cywiro-esbonio,accuracy_pct,0.0,64,1,0,21591,2722,0
caernarfon-3b-cymraeg-instruct-v0-1,ccc-priod-ddull,accuracy_pct,3.125,32,0,0,4730,1434,0
caernarfon-3b-cymraeg-instruct-v0-1,ccc-termau,accuracy_pct,12.5,32,0,0,3870,1172,0
caernarfon-3b-cymraeg-instruct-v0-1,copa-cy,accuracy_pct,49.8,500,0,0,50789,16689,0
caernarfon-3b-cymraeg-instruct-v0-1,mgsm-cy,accuracy_pct,2.4,250,80,0,29113,35187,0
caernarfon-3b-cymraeg-instruct-v0-1,piqa-welsh,accuracy_pct,47.8383,1781,24,0,338054,156173,0
caernarfon-3b-cymraeg-instruct-v0-1,truthfulqa-welsh-mc1,accuracy_pct,8.9333,750,0,0,179284,28488,0
caernarfon-3b-cymraeg-instruct-v0-1,welsh-arc-easy-mini-cy,accuracy_pct,22.0,50,1,0,8807,2430,0
caernarfon-3b-cymraeg-instruct-v0-1,welsh-bilingual-placenames,accuracy_pct,5.4545,660,3,0,43359,21052,0
caernarfon-3b-cymraeg-instruct-v0-1,welsh-cefr,accuracy_pct,0.3386,2658,262,0,321418,185198,0
caernarfon-3b-cymraeg-instruct-v0-1,welsh-grammar,accuracy_pct,0.0,991,2,0,59417,26413,0
caernarfon-3b-cymraeg-instruct-v0-1,welsh-legislation-translation,BLEU,22.0005,3003,506,0,205309,213925,0
caernarfon-3b-cymraeg-instruct-v0-1,welsh-lexicon,accuracy_pct,0.0,14083,51,0,719072,458089,0
caernarfon-3b-cymraeg-instruct-v0-1,welsh-mmlu-lite,accuracy_pct,16.25,400,3,0,108741,19057,0
caernarfon-3b-cymraeg-instruct-v0-1,welsh-obscenities,accuracy_pct,0.0,230,86,0,8754,5202,0
caernarfon-3b-cymraeg-instruct-v0-1,welsh-registers,accuracy_pct,0.0,875,3,0,320671,33667,0
caernarfon-3b-cymraeg-instruct-v0-1,welsh-toxigen,accuracy_pct,0.0,905,20,0,81142,43391,0
caernarfon-3b-cymraeg-instruct-v0-1,welsh-yes-no,accuracy_pct,0.0,268,13,0,34430,5913,0
caernarfon-3b-cymraeg-instruct-v0-1,wnli-cy,accuracy_pct,4.2254,71,0,0,12243,2946,0
caernarfon-3b-cymraeg-instruct-v0-1,xnli-brit-cy,accuracy_pct,0.0823,2431,101,0,429323,187637,0
