model,suite,metric,score,completed,invalid,errors,input_tokens,output_tokens,cost_usd
caernarfon-3b,arc-welsh-challenge,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,arc-welsh-easy,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,ccc-crynhoi-dyfynnu,accuracy_pct,0.0,24,24,0,0,0,0
caernarfon-3b,ccc-cyfarwyddyd-cymraeg,accuracy_pct,0.0,24,24,0,0,0,0
caernarfon-3b,ccc-cyfarwyddyd-saesneg,accuracy_pct,0.0,24,24,0,0,0,0
caernarfon-3b,ccc-cyfeiriadau,accuracy_pct,0.0,32,32,0,0,0,0
caernarfon-3b,ccc-cywiro-esbonio,accuracy_pct,0.0,64,44,0,6822,3078,0
caernarfon-3b,ccc-priod-ddull,accuracy_pct,0.0,32,32,0,0,0,0
caernarfon-3b,ccc-termau,accuracy_pct,0.0,32,32,0,0,0,0
caernarfon-3b,copa-cy,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,mgsm-cy,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,piqa-welsh,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,truthfulqa-welsh-mc1,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-arc-easy-mini-cy,accuracy_pct,0.0,50,50,0,0,0,0
caernarfon-3b,welsh-bilingual-placenames,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-cefr,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-grammar,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-legislation-translation,BLEU,14.8943,100,9,0,7231,19370,0
caernarfon-3b,welsh-lexicon,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-mmlu-lite,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-obscenities,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-registers,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-toxigen,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,welsh-yes-no,accuracy_pct,0.0,100,100,0,0,0,0
caernarfon-3b,wnli-cy,accuracy_pct,0.0,71,71,0,0,0,0
caernarfon-3b,xnli-brit-cy,accuracy_pct,0.0,100,100,0,0,0,0
