model,suite,dimension,score_pct,completed
jupiter-n-120b,ccc-crynhoi-dyfynnu,cwmpas,89.5833,24
jupiter-n-120b,ccc-crynhoi-dyfynnu,dyfyniad,91.6667,24
jupiter-n-120b,ccc-crynhoi-dyfynnu,ffeithiau,87.5,24
jupiter-n-120b,ccc-crynhoi-dyfynnu,ffyddlondeb,100.0,24
jupiter-n-120b,ccc-cyfarwyddyd-cymraeg,dewis_ffynonellau,87.5,24
jupiter-n-120b,ccc-cyfarwyddyd-cymraeg,dim_ffynonellau_annerbyniol,95.8333,24
jupiter-n-120b,ccc-cyfarwyddyd-saesneg,dewis_ffynonellau,95.8333,24
jupiter-n-120b,ccc-cyfarwyddyd-saesneg,dim_ffynonellau_annerbyniol,95.8333,24
jupiter-n-120b,ccc-cyfeiriadau,ateb,28.125,32
jupiter-n-120b,ccc-cyfeiriadau,cyfeiriadau,68.75,32
jupiter-n-120b,ccc-cyfeiriadau,dim_rhithgyfeirio,100.0,32
jupiter-n-120b,ccc-cywiro-esbonio,categori,34.375,64
jupiter-n-120b,ccc-cywiro-esbonio,cywiriad,12.5,64
jupiter-n-120b,ccc-cywiro-esbonio,esboniad,13.2812,64
jupiter-n-120b,ccc-cywiro-esbonio,rheol,17.1875,64
jupiter-n-120b,ccc-priod-ddull,priod,75.0,32
jupiter-n-120b,ccc-termau,term,46.875,32
