model,suite,metric,score,completed,invalid,errors,input_tokens,output_tokens,cost_usd
techiaith-llama-3-2-1b-sft,arc-welsh-challenge,accuracy_pct,14.0,100,49,0,9346,12206,0
techiaith-llama-3-2-1b-sft,arc-welsh-easy,accuracy_pct,15.0,100,50,0,8464,10687,0
techiaith-llama-3-2-1b-sft,ccc-crynhoi-dyfynnu,accuracy_pct,0.0,24,23,0,400,322,0
techiaith-llama-3-2-1b-sft,ccc-cyfarwyddyd-cymraeg,accuracy_pct,20.0,24,0,0,5843,2950,0
techiaith-llama-3-2-1b-sft,ccc-cyfarwyddyd-saesneg,accuracy_pct,15.0,24,5,0,4100,2959,0
techiaith-llama-3-2-1b-sft,ccc-cyfeiriadau,accuracy_pct,20.625,32,2,0,6566,5544,0
techiaith-llama-3-2-1b-sft,ccc-cywiro-esbonio,accuracy_pct,0.0,64,63,0,288,280,0
techiaith-llama-3-2-1b-sft,ccc-priod-ddull,accuracy_pct,0.0,32,12,0,2719,3189,0
techiaith-llama-3-2-1b-sft,ccc-termau,accuracy_pct,15.625,32,11,0,2523,3797,0
techiaith-llama-3-2-1b-sft,copa-cy,accuracy_pct,14.0,100,4,0,9499,11051,0
techiaith-llama-3-2-1b-sft,mgsm-cy,accuracy_pct,3.0,100,19,0,12758,11667,0
techiaith-llama-3-2-1b-sft,piqa-welsh,accuracy_pct,18.0,100,32,0,13464,11383,0
techiaith-llama-3-2-1b-sft,truthfulqa-welsh-mc1,accuracy_pct,40.0,100,49,0,10801,11178,0
techiaith-llama-3-2-1b-sft,welsh-arc-easy-mini-cy,accuracy_pct,10.0,50,25,0,4149,4644,0
techiaith-llama-3-2-1b-sft,welsh-bilingual-placenames,accuracy_pct,0.0,100,91,0,714,1455,0
techiaith-llama-3-2-1b-sft,welsh-cefr,accuracy_pct,7.0,100,39,0,9964,10461,0
techiaith-llama-3-2-1b-sft,welsh-grammar,accuracy_pct,0.0,100,13,0,5828,14344,0
techiaith-llama-3-2-1b-sft,welsh-legislation-translation,BLEU,1.0463,100,69,0,2879,5427,0
techiaith-llama-3-2-1b-sft,welsh-lexicon,accuracy_pct,0.0,100,8,0,5763,15931,0
techiaith-llama-3-2-1b-sft,welsh-mmlu-lite,accuracy_pct,13.0,100,39,0,12133,9956,0
techiaith-llama-3-2-1b-sft,welsh-obscenities,accuracy_pct,0.0,100,13,0,6130,13498,0
techiaith-llama-3-2-1b-sft,welsh-registers,accuracy_pct,0.0,100,27,0,24493,18490,0
techiaith-llama-3-2-1b-sft,welsh-toxigen,accuracy_pct,0.0,100,6,0,9055,12892,0
techiaith-llama-3-2-1b-sft,welsh-yes-no,accuracy_pct,0.0,100,22,0,10656,8803,0
techiaith-llama-3-2-1b-sft,wnli-cy,accuracy_pct,36.6197,71,19,0,8156,6324,0
techiaith-llama-3-2-1b-sft,xnli-brit-cy,accuracy_pct,7.0,100,19,0,13810,17418,0
